sending_region,receiving_region,milliseconds
asia-northeast2,europe-west4,232.365
europe-west9,asia-southeast1,192.632
asia-southeast1,europe-west9,192.807
asia-southeast2,europe-north1,235.491
europe-north1,asia-southeast2,235.494
europe-central2,asia-south2,162.271
asia-south2,europe-central2,162.265
asia-south2,europe-west6,141.904
europe-west6,asia-south2,141.915
europe-west1,asia-northeast2,233.153
asia-northeast2,europe-west1,232.923
europe-southwest1,asia-south1,129.294
asia-south1,europe-southwest1,129.283
asia-southeast1,europe-west4,198.259
europe-west12,asia-southeast2,197.89
asia-southeast2,europe-west12,197.908
europe-west8,asia-south1,115.049
asia-south1,europe-west8,115.052
europe-west10,asia-east2,227.238
asia-east2,europe-west10,227.218
europe-west10,asia-northeast1,230.127
asia-northeast1,europe-west10,230.12
asia-southeast1,europe-southwest1,195.842
europe-southwest1,asia-southeast1,195.807
europe-west2,asia-south1,140.126
asia-south1,europe-west2,140.15
europe-west1,asia-southeast2,209.645
asia-southeast2,europe-west1,209.649
europe-west3,asia-east1,230.711
asia-east1,europe-west3,230.707
europe-west3,asia-southeast2,208.147
asia-southeast2,europe-west3,208.158
europe-west3,asia-east2,227.51
asia-east2,europe-west3,227.512
asia-south1,europe-west12,115.005
europe-west12,asia-south1,115.073
europe-west1,asia-northeast3,250.183
asia-northeast3,europe-west1,250.197
europe-west6,asia-southeast2,201.181
asia-southeast2,europe-west6,201.176
europe-central2,asia-northeast3,269.705
asia-northeast3,europe-central2,270.071
europe-west1,asia-southeast1,208.202
asia-southeast1,europe-west1,208.057
asia-southeast2,europe-west10,216.465
europe-west10,asia-southeast2,216.549
europe-west12,asia-northeast2,246.744
asia-northeast2,europe-west12,249.08
europe-west1,asia-south1,122.667
asia-south1,europe-west1,122.665
europe-north1,asia-southeast1,221.873
asia-southeast1,europe-north1,221.885
europe-west12,asia-northeast1,235.254
asia-southeast1,europe-west2,200.695
europe-west2,asia-southeast1,200.841
us-west1,asia-northeast2,101.554
asia-northeast2,us-west1,101.574
asia-south2,europe-west10,155.886
europe-west10,asia-south2,155.908
asia-northeast2,us-east4,156.518
us-east4,asia-northeast2,156.5
asia-southeast1,us-west3,173.34
us-west3,asia-southeast1,173.706
asia-south2,europe-west3,146.268
europe-west3,asia-south2,146.279
europe-central2,asia-northeast1,238.429
asia-northeast1,europe-central2,238.435
europe-west2,asia-northeast1,212.922
asia-northeast1,europe-west2,212.93
us-central1,asia-northeast1,145.389
asia-northeast1,us-central1,145.388
asia-south1,europe-west6,119.415
europe-west6,asia-south1,119.398
asia-northeast1,europe-west3,228.596
europe-west3,asia-northeast1,228.595
asia-southeast1,us-west2,158.711
us-west2,asia-southeast1,158.717
europe-west9,asia-south1,125.973
asia-south1,europe-west9,125.998
asia-south1,us-east1,214.787
us-east1,asia-south1,214.805
europe-central2,asia-southeast1,212.628
asia-southeast1,europe-central2,212.712
us-west3,asia-east1,140.734
asia-east1,us-west3,140.694
asia-south1,europe-west4,129.118
europe-west4,asia-south1,129.125
us-west4,asia-southeast2,178.71
asia-southeast2,us-west4,178.707
asia-south1,us-west4,225.605
us-west4,asia-south1,225.249
us-west3,asia-east2,152.823
us-west2,asia-south1,220.371
asia-south1,us-west2,220.451
europe-west4,us-west1,133.475
us-west1,europe-west4,133.464
asia-east2,europe-west2,226.23
europe-west2,asia-east2,226.217
europe-west4,us-east4,86.646
us-east4,europe-west4,86.646
europe-north1,asia-east2,252.203
asia-east2,europe-north1,252.197
europe-west6,asia-northeast2,256.194
asia-northeast2,europe-west6,256.188
asia-east1,us-west1,118.56
us-west1,asia-east1,118.547
us-west4,asia-northeast1,104.796
asia-northeast1,us-west4,104.802
europe-west10,us-west1,142.765
us-west1,europe-west10,142.792
asia-south1,europe-west10,132.546
europe-west10,asia-south1,132.546
us-west2,europe-west3,149.814
europe-west3,us-west2,149.835
us-west4,europe-west2,132.711
europe-west2,us-west4,133.119
europe-west2,us-west2,135.832
us-west2,europe-west2,135.982
europe-west8,asia-southeast2,200.515
asia-southeast2,europe-west8,200.516
europe-west10,us-east1,98.78
us-east1,europe-west10,98.796
asia-east1,us-east5,169.553
us-east5,asia-east1,169.547
europe-west6,asia-east1,224.777
asia-east1,europe-west6,224.776
europe-west1,us-east4,80.136
us-east4,europe-west1,80.188
us-west1,europe-west1,134.569
europe-west1,us-west1,134.571
asia-south1,us-east5,204.393
us-central1,europe-west4,102.088
europe-west4,us-central1,102.079
europe-west9,asia-east2,215.477
asia-east2,europe-west9,216.007
europe-central2,us-west3,138.622
us-west3,europe-central2,138.626
europe-west2,asia-south2,158.831
asia-south2,europe-west2,158.812
us-west1,asia-northeast1,87.557
asia-northeast1,us-west1,87.556
europe-west3,us-east5,94.712
us-east5,europe-west3,94.783
asia-southeast1,us-central1,205.053
us-central1,asia-southeast1,205.341
europe-southwest1,us-west2,147.763
us-west2,europe-southwest1,147.784
us-east4,asia-south1,197.016
asia-south1,us-east4,197.006
us-west2,europe-north1,164.854
europe-north1,us-west2,164.844
europe-central2,us-east5,104.429
us-east5,europe-central2,104.431
us-east4,asia-east2,185.578
asia-east2,us-east4,185.58
asia-southeast1,europe-west3,192.159
europe-west3,asia-southeast1,192.426
europe-southwest1,asia-northeast1,216.601
asia-northeast1,europe-southwest1,216.575
us-central1,europe-southwest1,115.889
europe-southwest1,us-central1,116.076
asia-south1,us-west1,214.321
us-west1,asia-south1,214.305
us-east1,asia-northeast3,184.663
asia-northeast3,us-east1,184.653
us-east1,europe-west8,106.853
europe-west8,us-east1,106.896
europe-west2,asia-southeast2,216.924
asia-southeast2,europe-west2,216.941
europe-central2,us-west1,151.127
europe-west3,us-east4,86.747
us-east4,europe-west3,86.757
europe-west6,us-west4,150.393
us-west4,europe-west6,150.362
us-west2,asia-northeast2,107.364
asia-northeast2,us-west2,107.383
europe-west9,australia-southeast2,262.864
australia-southeast2,europe-west9,262.872
us-west4,asia-northeast3,131.887
asia-northeast3,us-west4,131.89
us-east4,europe-west6,91.858
europe-west6,us-east4,91.846
asia-east1,europe-west12,222.65
europe-west12,asia-east1,222.651
australia-southeast1,europe-west8,266.093
europe-west8,australia-southeast1,266.107
us-west2,europe-west10,151.16
europe-west10,us-west2,151.163
europe-southwest1,asia-northeast3,252.644
asia-northeast3,europe-southwest1,252.646
us-east1,europe-west12,105.67
europe-west12,us-east1,105.737
asia-east1,us-west4,132.324
australia-southeast1,europe-west3,275.675
europe-west3,australia-southeast1,275.672
europe-west6,us-east1,102.522
us-east1,europe-west6,102.532
us-west1,asia-east2,130.712
asia-east2,us-west1,130.793
northamerica-northeast1,asia-south2,222.631
asia-south2,northamerica-northeast1,223.063
northamerica-northeast1,europe-central2,100.752
europe-central2,northamerica-northeast1,100.755
australia-southeast2,asia-east2,117.383
australia-southeast1,asia-east2,127.485
asia-east2,australia-southeast1,127.486
europe-central2,us-west2,159.466
us-west2,europe-central2,159.469
europe-southwest1,us-west3,116.967
us-west3,europe-southwest1,116.959
asia-east2,northamerica-northeast2,183.935
northamerica-northeast2,asia-east2,183.932
northamerica-northeast2,asia-southeast1,207.897
asia-southeast1,northamerica-northeast2,208.274
asia-southeast1,northamerica-northeast1,214.595
northamerica-northeast1,asia-southeast1,214.588
southamerica-east1,asia-south1,312.148
asia-south1,southamerica-east1,312.136
asia-northeast2,me-west1,223.046
me-west1,asia-northeast2,222.981
us-central1,europe-central2,119.866
europe-central2,us-central1,119.863
northamerica-northeast2,asia-northeast2,152.244
asia-northeast2,northamerica-northeast2,152.243
me-west1,asia-southeast2,162.998
asia-southeast2,me-west1,163.541
us-east4,australia-southeast2,203.675
australia-southeast2,us-east4,203.73
me-west1,us-west2,190.083
us-west2,me-west1,190.083
europe-west10,southamerica-east1,201.961
southamerica-east1,europe-west10,201.955
europe-west4,northamerica-northeast1,84.625
australia-southeast2,asia-southeast2,97.716
asia-southeast2,australia-southeast2,97.723
me-west1,me-central1,82.124
me-central1,me-west1,82.094
asia-northeast2,europe-north1,256.752
europe-north1,asia-northeast2,256.716
asia-east2,me-west1,183.104
me-west1,asia-east2,183.09
southamerica-east1,me-central1,306.324
me-central1,southamerica-east1,306.316
me-central1,asia-south2,57.155
asia-south2,me-central1,56.437
us-west1,asia-south2,224.571
asia-south2,us-west1,224.571
me-central1,europe-central2,136.035
europe-central2,me-central1,136.041
me-central1,northamerica-northeast1,195.966
northamerica-northeast1,me-central1,195.984
us-west4,northamerica-northeast1,67.554
northamerica-northeast1,us-west4,67.554
asia-southeast2,northamerica-northeast1,228.816
northamerica-northeast1,europe-west3,87.216
europe-west3,northamerica-northeast1,87.206
southamerica-east1,us-west3,156.747
us-west3,southamerica-east1,156.739
southamerica-east1,us-west2,158.131
us-west2,southamerica-east1,157.656
europe-west4,me-central1,123.639
me-central1,europe-west4,124.296
europe-west2,southamerica-east1,189.596
southamerica-east1,europe-west2,189.575
me-central1,australia-southeast2,178.612
australia-southeast2,me-central1,178.601
europe-southwest1,northamerica-northeast1,80.669
northamerica-northeast1,europe-southwest1,80.672
europe-west3,europe-southwest1,24.444
europe-southwest1,europe-west3,24.436
me-west1,europe-west6,48.796
me-central1,europe-west12,108.522
europe-west12,me-central1,108.493
northamerica-northeast2,europe-north1,121.099
europe-north1,northamerica-northeast2,121.372
europe-west8,northamerica-northeast2,106.059
northamerica-northeast2,europe-west8,106.06
europe-west12,europe-west9,16.725
europe-west9,europe-west12,16.581
me-central1,europe-southwest1,116.702
europe-southwest1,me-central1,116.708
northamerica-northeast2,us-east5,22.155
us-east5,northamerica-northeast2,22.152
me-central1,europe-west10,127.038
europe-west10,me-central1,127.128
me-central1,us-east5,199.134
us-east5,me-central1,199.13
me-west1,europe-north1,81.316
europe-north1,me-west1,81.307
europe-north1,australia-southeast2,296.224
australia-southeast2,europe-north1,296.22
asia-southeast2,asia-south2,79.64
asia-south2,asia-southeast2,79.64
europe-west1,europe-southwest1,19.097
europe-southwest1,europe-west1,19.084
europe-central2,europe-west12,32.887
europe-west12,europe-central2,32.884
me-central1,asia-northeast3,164.122
asia-northeast3,me-central1,164.116
asia-south2,asia-east2,103.83
asia-east2,asia-south2,104.467
me-central1,asia-northeast2,168.454
asia-northeast2,me-central1,168.729
europe-west3,asia-northeast2,262.276
me-west1,asia-southeast1,149.032
asia-southeast1,me-west1,149.042
europe-west2,europe-west8,21.262
europe-west8,europe-west2,21.286
me-west1,europe-west1,52.425
europe-west1,me-west1,52.464
me-central1,us-east1,201.89
us-east1,me-central1,202.095
europe-west10,europe-west1,12.166
europe-west1,europe-west10,12.167
northamerica-northeast2,northamerica-northeast1,7.543
northamerica-northeast1,northamerica-northeast2,7.553
europe-west10,europe-central2,9.313
europe-central2,europe-west10,9.32
us-west3,us-central1,18.564
us-central1,us-west3,18.324
asia-southeast1,asia-northeast1,71.502
asia-northeast1,asia-southeast1,71.508
europe-west12,europe-west3,12.759
europe-west3,europe-west12,12.72
asia-southeast1,asia-northeast3,70.48
asia-northeast3,asia-southeast1,70.588
asia-south1,asia-southeast1,59.045
asia-southeast1,asia-south1,59.077
asia-east2,asia-south1,94.413
asia-south1,asia-east2,94.431
